    Ne 22  (n,g    )  Ne 23   8.08758E-04+- 2.06501E+01          Ne 22  (n,p    )  F  22   1.08178E-02+- 5.00000E+01
    Ne 22  (n,d    )  F  21   1.22166E-06+- 1.00000E+02          Ne 22  (n,a    )  O  19   5.40587E-03+- 6.00000E+01
    Na 22  (n,2n   )  Na 21   4.04758E-03+- 4.00000E+01          Na 22  (n,na   )  F  18   4.65948E-03+- 1.00000E+02
    Na 22  (n,np   )  Ne 21   1.29317E-01+- 1.00000E+02          Na 22  (n,nd   )  Ne 20   3.12949E-04+- 6.00000E+01
    Na 22  (n,g    )  Na 23   4.00609E+00+- 3.19100E+01          Na 22  (n,p    )  Ne 22   4.57957E+02+- 2.99787E+01
    Na 22  (n,d    )  Ne 21   1.82210E-02+- 1.00000E+02          Na 22  (n,t    )  Ne 20   7.06531E-03+- 6.00000E+01
    Na 22  (n,h    )  F  20   1.89998E-08+- 9.00000E+01          Na 22  (n,a    )  F  19   4.24047E+00+- 2.93342E+01
    Na 22  (n,2a   )  N  15   4.24309E-02+- 2.00000E+02          Na 22  (n,2p   )  F  21   9.56841E-08+- 2.00000E+02
    Na 22  (n,pa   )  O  18   1.39986E-03+- 2.00000E+02          Na 22  (n,da   )  O  17   2.00745E-09+- 2.00000E+02
    Na 22  (n,ta   )  O  16   1.50607E-04+- 2.00000E+02          Na 23  (n,2n   )  Na 22   4.68249E-03+- 2.00000E+01
    Na 23  (n,na   )  F  19   2.69503E-03+- 3.00000E+01          Na 23  (n,np   )  Ne 22   7.27204E-02+- 1.00000E+02
    Na 23  (n,g    )  Na 24   2.22342E-03+- 4.11489E+01          Na 23  (n,g    )  Na 24m  5.22548E-03+- 2.35373E+01
    Na 23  (n,p    )  Ne 23   1.80781E-02+- 2.00000E+01          Na 23  (n,d    )  Ne 22   1.93334E-02+- 1.00000E+02
    Na 23  (n,t    )  Ne 21   1.42692E-03+- 3.00000E+01          Na 23  (n,a    )  F  20   5.50215E-02+- 1.50000E+01
    Na 24  (n,n    )  Na 24m  5.36208E-02+- 1.00000E+02          Na 24  (n,2n   )  Na 23   2.17406E-01+- 4.00000E+01
    Na 24  (n,na   )  F  20   6.66276E-05+- 1.00000E+02          Na 24  (n,np   )  Ne 23   1.97690E-03+- 1.00000E+02
    Na 24  (n,nd   )  Ne 22   1.42401E-12+- 6.00000E+01          Na 24  (n,g    )  Na 25   8.95996E-04+- 4.97117E+02
    Na 24  (n,p    )  Ne 24   1.83036E-02+- 5.00000E+01          Na 24  (n,d    )  Ne 23   4.26560E-03+- 1.00000E+02
    Na 24  (n,t    )  Ne 22   3.05190E-03+- 6.00000E+01          Na 24  (n,a    )  F  21   6.76053E-03+- 6.00000E+01
    Mg 24  (n,na   )  Ne 20   2.43991E-02+- 4.00000E+01          Mg 24  (n,np   )  Na 23   1.35222E-02+- 1.00000E+02
    Mg 24  (n,g    )  Mg 25   1.27585E-03+- 1.97202E+01          Mg 24  (n,p    )  Na 24   4.74712E-02+- 6.32456E+01
    Mg 24  (n,p    )  Na 24m  2.13290E-02+- 6.32456E+01          Mg 24  (n,d    )  Na 23   8.42343E-03+- 1.00000E+02
    Mg 24  (n,h    )  Ne 22   9.61882E-11+- 9.00000E+01          Mg 24  (n,a    )  Ne 21   9.63424E-02+- 4.00000E+01
    Mg 24  (n,2a   )  O  17   8.86106E-08+- 2.00000E+02          Mg 25  (n,2n   )  Mg 24   1.92976E-01+- 4.00000E+01
    Mg 25  (n,na   )  Ne 21   2.04665E-03+- 1.00000E+02          Mg 25  (n,np   )  Na 24   2.22071E-04+- 1.16619E+02
    Mg 25  (n,np   )  Na 24m  1.02238E-04+- 1.16619E+02          Mg 25  (n,g    )  Mg 26   3.64518E-03+- 1.93043E+01
    Mg 25  (n,p    )  Na 25   2.39190E-02+- 2.00000E+01          Mg 25  (n,d    )  Na 24   1.44116E-03+- 1.16619E+02
    Mg 25  (n,d    )  Na 24m  6.48215E-04+- 1.16613E+02          Mg 25  (n,t    )  Na 23   3.91356E-04+- 6.00000E+01
    Mg 25  (n,a    )  Ne 22   2.87857E-02+- 3.00000E+01          Mg 25  (n,2a   )  O  18   4.06526E-08+- 2.00000E+02
    Mg 26  (n,2n   )  Mg 25   1.17463E-01+- 4.00000E+01          Mg 26  (n,na   )  Ne 22   1.62439E-04+- 1.00000E+02
    Mg 26  (n,g    )  Mg 27   8.72503E-04+- 1.67036E+01          Mg 26  (n,p    )  Na 26   6.63174E-03+- 3.00000E+01
    Mg 26  (n,d    )  Na 25   2.22832E-04+- 1.00000E+02          Mg 26  (n,a    )  Ne 23   1.93728E-02+- 2.00000E+01
    Mg 28  (n,2n   )  Mg 27   2.56914E-01+- 4.00000E+01          Mg 28  (n,na   )  Ne 24   2.71850E-07+- 1.00000E+02
    Mg 28  (n,g    )  Mg 29   6.26941E-05+- 5.05798E+02          Mg 28  (n,p    )  Na 28   2.00739E-07+- 5.00000E+01
    Mg 28  (n,a    )  Ne 25   8.21438E-04+- 6.00000E+01          Al 26  (n,n    )  Al 26m  1.78074E-02+- 1.00000E+02
    Al 26  (n,2n   )  Al 25   1.79678E-03+- 4.00000E+01          Al 26  (n,na   )  Na 22   9.63254E-04+- 1.00000E+02
    Al 26  (n,np   )  Mg 25   1.44930E-01+- 1.00000E+02          Al 26  (n,nd   )  Mg 24   7.34695E-05+- 6.00000E+01
    Al 26  (n,g    )  Al 27   1.00296E-02+- 8.38632E+02          Al 26  (n,p    )  Mg 26   2.39310E-01+- 5.00000E+01
